"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"13.04.2020","1,0913","1,0941","1,0969","1,0892","","-0,20%"
"14.04.2020","1,0979","1,0914","1,0988","1,0904","","0,60%"
"15.04.2020","1,0907","1,0980","1,0991","1,0856","","-0,66%"
"16.04.2020","1,0835","1,0911","1,0913","1,0817","","-0,66%"
"17.04.2020","1,0876","1,0835","1,0893","1,0812","","0,38%"
"20.04.2020","1,0862","1,0875","1,0898","1,0841","","-0,13%"
"21.04.2020","1,0856","1,0862","1,0882","1,0816","","-0,06%"
"22.04.2020","1,0822","1,0857","1,0886","1,0802","","-0,31%"
"23.04.2020","1,0776","1,0824","1,0848","1,0755","","-0,43%"
"24.04.2020","1,0820","1,0778","1,0831","1,0726","","0,41%"
"27.04.2020","1,0828","1,0809","1,0862","1,0808","","0,07%"
"28.04.2020","1,0818","1,0829","1,0890","1,0810","","-0,09%"
"29.04.2020","1,0873","1,0819","1,0886","1,0818","","0,51%"
"30.04.2020","1,0955","1,0872","1,0973","1,0833","","0,75%"
"01.05.2020","1,0983","1,0956","1,1019","1,0934","","0,26%"
"04.05.2020","1,0906","1,0980","1,0980","1,0895","","-0,70%"
"05.05.2020","1,0838","1,0907","1,0927","1,0826","","-0,62%"
"06.05.2020","1,0794","1,0836","1,0848","1,0782","","-0,41%"
"07.05.2020","1,0832","1,0795","1,0835","1,0766","","0,35%"
"08.05.2020","1,0840","1,0833","1,0876","1,0814","","0,07%"
"11.05.2020","1,0806","1,0838","1,0851","1,0800","","-0,31%"
"12.05.2020","1,0846","1,0807","1,0885","1,0784","","0,37%"
"13.05.2020","1,0816","1,0848","1,0897","1,0811","","-0,28%"
"14.05.2020","1,0804","1,0819","1,0826","1,0775","","-0,11%"
"15.05.2020","1,0815","1,0805","1,0851","1,0789","","0,10%"
"18.05.2020","1,0912","1,0816","1,0927","1,0799","","0,90%"
"19.05.2020","1,0921","1,0913","1,0977","1,0901","","0,08%"
"20.05.2020","1,0977","1,0928","1,1000","1,0918","","0,51%"
"21.05.2020","1,0949","1,0979","1,1010","1,0936","","-0,26%"
"22.05.2020","1,0900","1,0949","1,0961","1,0885","","-0,45%"
"25.05.2020","1,0899","1,0903","1,0915","1,0870","","-0,01%"
"26.05.2020","1,0980","1,0899","1,0997","1,0891","","0,74%"
"27.05.2020","1,1003","1,0983","1,1032","1,0934","","0,21%"
"28.05.2020","1,1076","1,1005","1,1094","1,0991","","0,66%"
"29.05.2020","1,1098","1,1078","1,1146","1,1070","","0,20%"
"01.06.2020","1,1134","1,1097","1,1155","1,1095","","0,32%"
"02.06.2020","1,1169","1,1137","1,1197","1,1114","","0,31%"
"03.06.2020","1,1232","1,1172","1,1257","1,1166","","0,56%"
"04.06.2020","1,1336","1,1234","1,1363","1,1194","","0,93%"
"05.06.2020","1,1284","1,1337","1,1385","1,1278","","-0,46%"
"08.06.2020","1,1292","1,1289","1,1321","1,1267","","0,07%"
"09.06.2020","1,1340","1,1297","1,1365","1,1241","","0,43%"
"10.06.2020","1,1369","1,1340","1,1423","1,1322","","0,26%"
"11.06.2020","1,1297","1,1373","1,1404","1,1287","","-0,63%"
"12.06.2020","1,1254","1,1299","1,1341","1,1212","","-0,38%"
"15.06.2020","1,1322","1,1245","1,1334","1,1226","","0,60%"
"16.06.2020","1,1263","1,1325","1,1353","1,1228","","-0,52%"
"17.06.2020","1,1243","1,1264","1,1295","1,1207","","-0,18%"
"18.06.2020","1,1202","1,1244","1,1264","1,1185","","-0,36%"
"19.06.2020","1,1175","1,1205","1,1255","1,1168","","-0,24%"
"22.06.2020","1,1258","1,1185","1,1271","1,1168","","0,74%"
"23.06.2020","1,1306","1,1259","1,1350","1,1233","","0,43%"
"24.06.2020","1,1250","1,1308","1,1327","1,1248","","-0,50%"
"25.06.2020","1,1217","1,1251","1,1261","1,1190","","-0,29%"
"26.06.2020","1,1217","1,1218","1,1241","1,1194","","0,00%"
"29.06.2020","1,1240","1,1227","1,1289","1,1216","","0,21%"
"30.06.2020","1,1231","1,1242","1,1263","1,1191","","-0,08%"
"01.07.2020","1,1250","1,1233","1,1276","1,1185","","0,17%"
"02.07.2020","1,1238","1,1252","1,1303","1,1222","","-0,11%"
"03.07.2020","1,1248","1,1239","1,1254","1,1219","","0,09%"
"06.07.2020","1,1308","1,1242","1,1346","1,1240","","0,53%"
